date=05-12-2024, time=06:03:49, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425488945
date=05-12-2024, time=06:05:03, id=18, deviceList=111111000000000000000000, readList=000001000000000000000000, code=0425489802
date=05-12-2024, time=06:05:06, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425489800
date=05-12-2024, time=06:05:08, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425489801
date=05-12-2024, time=06:05:12, id=18, deviceList=111111000000000000000000, readList=100010000000000000000000, code=0425489382
date=05-12-2024, time=06:05:15, id=18, deviceList=111111000000000000000000, readList=011101000000000000000000, code=0425489440
date=05-12-2024, time=06:05:19, id=18, deviceList=111111000000000000000000, readList=011010000000000000000000, code=0425489384
date=05-12-2024, time=06:05:21, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:05:25, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0425489385
date=05-12-2024, time=06:05:27, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425489054
date=05-12-2024, time=06:05:29, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:05:32, id=18, deviceList=111111000000000000000000, readList=001101000000000000000000, code=0425489442
date=05-12-2024, time=06:05:36, id=18, deviceList=111111000000000000000000, readList=001011000000000000000000, code=0425489386
date=05-12-2024, time=06:05:39, id=18, deviceList=111111000000000000000000, readList=001011000000000000000000, code=0425489387
date=05-12-2024, time=06:05:42, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:05:45, id=18, deviceList=111111000000000000000000, readList=100011000000000000000000, code=0425489057
date=05-12-2024, time=06:05:47, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0425489056
date=05-12-2024, time=06:05:51, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425489443
date=05-12-2024, time=06:05:53, id=18, deviceList=111111000000000000000000, readList=011111000000000000000000, code=0425489055
date=05-12-2024, time=06:05:57, id=18, deviceList=111111000000000000000000, readList=110011000000000000000000, code=0425489389
date=05-12-2024, time=06:06:01, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425489390
date=05-12-2024, time=06:06:03, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425489391
date=05-12-2024, time=06:06:06, id=18, deviceList=111111000000000000000000, readList=, code=
